"","Target","Molecule","Scaffold"
"177","SHH","VFYKVHFFNGGOIO-UHFFFAOYSA-N","Sca46769"
"178","SHH","FRGQCWMZTZPBRJ-UHFFFAOYSA-N","Sca2050"
"179","SHH","GAVQYOLIJNDBBO-UHFFFAOYSA-N","Sca2050"
"180","SHH","LKRZBVIVDZNQRA-UHFFFAOYSA-N","Sca2050"
"181","SHH","QRRSSZMGQATLCF-UHFFFAOYSA-N","Sca2050"
"182","SHH","GCLOLVKYSGLEKJ-UHFFFAOYSA-N","Sca2050"
"183","TSPO","QPLWUROXKVKJFO-UHFFFAOYSA-N","Sca6944"
"184","TSPO","FGDKXQIJZSPQHK-UHFFFAOYSA-N","Sca771"
"185","TSPO","HGYZAKWTGAZJRR-UHFFFAOYSA-N","Sca6944"
"186","TSPO","GTBVMXOOPUKQEU-UHFFFAOYSA-N","Sca69453"
"187","TSPO","PMPNIILSTAUJJS-UHFFFAOYSA-N","Sca47723"
"188","TSPO","UFZKUMVHQKVATP-UHFFFAOYSA-N","Sca69453"
"189","TSPO","GCHVEEZKDIOEEW-UHFFFAOYSA-N","Sca6944"
"190","TSPO","BPGOUCVJJZHKQE-UHFFFAOYSA-N","Sca771"
"191","TSPO","NVQSVEQNCOWDBV-UHFFFAOYSA-N","Sca69453"
"192","TSPO","KCGKLVWNHJKVNK-UHFFFAOYSA-N","Sca47723"
"193","TSPO","QXIHVESBDSAWSK-UHFFFAOYSA-N","Sca6944"
"194","TSPO","FGJLXSQONBXXOQ-UHFFFAOYSA-N","Sca6944"
"195","TSPO","QJCLUBBQLHBLOP-UHFFFAOYSA-N","Sca6944"
"196","TSPO","UFIIMXHKOVDWOD-UHFFFAOYSA-N","Sca69453"
"197","TSPO","JBNWMDKNZKFUEB-UHFFFAOYSA-N","Sca771"
"198","TSPO","QJQTZNPNVAWAGZ-UHFFFAOYSA-N","Sca69453"
"199","TSPO","JRZIGYIBOCKYJT-UHFFFAOYSA-N","Sca6944"
"200","TSPO","QOWZZQODNBDIID-UHFFFAOYSA-N","Sca69453"
"201","TSPO","GWDKUYCSDMPODZ-UHFFFAOYSA-N","Sca6944"
"202","TSPO","QCAXCPOAIPIDKP-UHFFFAOYSA-N","Sca47723"
"203","TSPO","IBRITHGUQFANGS-UHFFFAOYSA-N","Sca771"
"204","TSPO","RRWKQWNTMGJLLA-UHFFFAOYSA-N","Sca6944"
"205","TSPO","WIQPVOISBZBCNN-UHFFFAOYSA-N","Sca565"
"206","TSPO","HTRJPNZKQJNIGN-UHFFFAOYSA-N","Sca47723"
"207","TSPO","RFJZJDYWSLNICW-UHFFFAOYSA-N","Sca771"
"208","TSPO","HVRAZCWNURIUQB-UHFFFAOYSA-N","Sca47723"
